"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen",12,-0.919344488657005,-2.1529437422815,2.49202730440375e-08,1.03668335863196e-05,9.39100815764782e-06,16,"tags=58%, list=4%, signal=58%","8404/720/1356/1293/1291/1292/2200"
"GO:0005581","GO:0005581","collagen trimer",3,-0.995037220843672,-1.65548159456647,9.55525999924137e-06,0.0019874940798422,0.00180041214722548,6,"tags=100%, list=1%, signal=99%","1291/1292"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix",23,-0.742616378691536,-1.97763371015654,2.23961847759906e-05,0.00231473498930088,0.00209685001561163,41,"tags=43%, list=10%, signal=41%","3911/301/302/3383/8404/954/1293/1291/1292/2200"
"GO:0030312","GO:0030312","external encapsulating structure",24,-0.729451475658301,-1.97465084649238,2.78213340060202e-05,0.00231473498930088,0.00209685001561163,41,"tags=42%, list=10%, signal=40%","3911/301/302/3383/8404/954/1293/1291/1292/2200"
"GO:0031012","GO:0031012","extracellular matrix",24,-0.729451475658301,-1.97465084649238,2.78213340060202e-05,0.00231473498930088,0.00209685001561163,41,"tags=42%, list=10%, signal=40%","3911/301/302/3383/8404/954/1293/1291/1292/2200"
"GO:0031966","GO:0031966","mitochondrial membrane",47,-0.620352739370562,-1.82616142277833,4.48847265733729e-05,0.00311200770908719,0.00281907580934517,63,"tags=45%, list=16%, signal=43%","1327/5250/3030/10493/55847/8604/291/4704/1340/3032/7416/7417/4719/2820/1329/94081/7384/293/7385/4128/4129"
"GO:0005740","GO:0005740","mitochondrial envelope",49,-0.598929392677288,-1.77597987642834,0.000151057503252329,0.00897713162185268,0.00813211822020055,63,"tags=43%, list=16%, signal=41%","1327/5250/3030/10493/55847/8604/291/4704/1340/3032/7416/7417/4719/2820/1329/94081/7384/293/7385/4128/4129"
"GO:0031967","GO:0031967","organelle envelope",62,-0.556257917512662,-1.69293187442302,0.000458046498754093,0.0238184179352128,0.0215764008623638,109,"tags=50%, list=27%, signal=43%","3329/952/5621/1537/3691/1192/3098/1536/9377/1327/5250/3030/307/10493/55847/8604/291/4704/1340/3032/7416/7417/4719/2820/1329/94081/7384/293/7385/4128/4129"
"GO:0005589","GO:0005589","collagen type VI trimer",2,-0.992574257425743,-1.49686312581668,0.000782347282505116,0.0295869517747389,0.026801945180558,6,"tags=100%, list=1%, signal=99%","1291"
"GO:0098647","GO:0098647","collagen beaded filament",2,-0.992574257425743,-1.49686312581668,0.000782347282505116,0.0295869517747389,0.026801945180558,6,"tags=100%, list=1%, signal=99%","1291"
"GO:0140086","GO:0140086","basement membrane/interstitial matrix interface",2,-0.992574257425743,-1.49686312581668,0.000782347282505116,0.0295869517747389,0.026801945180558,6,"tags=100%, list=1%, signal=99%","1291"
"GO:0042383","GO:0042383","sarcolemma",24,-0.660053388831399,-1.78678778024246,0.00116116721005838,0.0402537966153571,0.0364647246667456,89,"tags=54%, list=22%, signal=45%","308/7414/1605/6641/3688/3916/5962/301/302/79026/1293/1291/1292"
